Sample_ID	Exp_level	Cancer_type	Tissue_type
TCGA-A8-A07E-01A-11R-A034-07	2.6552421888974	BRCA	Cancer
TCGA-BI-A0VR-01A-11R-A10U-07	13.1153647828599	CESC	Cancer
TCGA-AR-A252-01A-11R-A169-07	10.377193891064	BRCA	Cancer
TCGA-AX-A1CF-11A-11R-A137-07	3.08343822510567	UCEC	Normal
TCGA-NK-A5CT-01A-31R-A26W-07	2.46561437090357	LUSC	Cancer
TCGA-EE-A2GH-06A-11R-A18T-07	45.370009339571	SKCM	Cancer
TCGA-D9-A4Z5-01A-11R-A266-07	0.787615985182054	SKCM	Cancer
TCGA-P4-A5E8-11A-12R-A28H-07	1.4676238737379	KIRP	Normal
TCGA-BR-4368-01A-01R-1157-13	8.8468313323746	STAD	Cancer
TCGA-66-2757-01A-01R-0851-07	7.20939903313067	LUSC	Cancer
TCGA-HC-7819-11A-01R-2118-07	1.22167915895912	PRAD	Normal
TCGA-CV-7424-11A-01R-2081-07	1.43468232945071	HNSC	Normal
TCGA-A5-A0GG-01A-11R-A118-07	3.05947947259626	UCEC	Cancer
TCGA-20-0991-01A-01R-1564-13	14.9717033543608	OV	Cancer
TCGA-BH-A0DO-11A-22R-A12D-07	2.74509006371347	BRCA	Normal
TCGA-E1-A7YM-01A-11R-A34F-07	0.17385161305614	LGG	Cancer
TCGA-A5-A0GM-01A-11R-A040-07	1.09572651413502	UCEC	Cancer
TCGA-HT-7680-01A-11R-2256-07	0.415800553482821	LGG	Cancer
TCGA-EK-A2R8-01A-21R-A18M-07	5.48896612643527	CESC	Cancer
TCGA-KN-8437-11A-01R-2315-07	4.32523411340908	KICH	Normal
TCGA-G8-6914-01A-11R-2213-07	49.066252425322	DLBC	Cancer
TCGA-B0-5701-01A-11R-1541-07	8.0513741871515	KIRC	Cancer
TCGA-AR-A1AK-01A-21R-A12P-07	4.01240725353187	BRCA	Cancer
TCGA-YL-A8SR-01B-11R-A37L-07	2.397630161489	PRAD	Cancer
TCGA-B8-5162-01A-01R-1420-07	16.84124120032	KIRC	Cancer
TCGA-24-1424-01A-01R-1565-13	1.25562657782115	OV	Cancer
TCGA-D7-6820-01A-11R-1884-13	0.932521393229642	STAD	Cancer
TCGA-E9-A1RC-11A-33R-A157-07	6.22071891384738	BRCA	Normal
TCGA-OR-A5K6-01A-11R-A29S-07	0.503798168434187	ACC	Cancer
TCGA-63-A5ML-01A-31R-A27Q-07	7.61897969123256	LUSC	Cancer
TCGA-EE-A2A6-06A-11R-A18T-07	23.9022319381241	SKCM	Cancer
TCGA-CG-4466-01A-01R-1157-13	2.99485623867078	STAD	Cancer
TCGA-GJ-A6C0-01A-12R-A311-07	2.07664877993926	LIHC	Cancer
TCGA-AB-2936-03A-01T-0740-13	23.2498710965336	LAML	Cancer
TCGA-CR-7394-01A-11R-2016-07	21.7664419376592	HNSC	Cancer
TCGA-CV-6003-01A-11R-1686-07	1.48224196954963	HNSC	Cancer
TCGA-DD-A11C-11A-11R-A131-07	4.94174845256775	LIHC	Normal
TCGA-04-1519-01A-01R-1565-13	0.596095930268056	OV	Cancer
TCGA-06-0174-01A-01R-1849-01	1.029624232898	GBM	Cancer
TCGA-D8-A1XF-01A-11R-A14D-07	0.570717016572604	BRCA	Cancer
TCGA-HU-A4H5-01A-21R-A251-31	7.13147061891604	STAD	Cancer
TCGA-AP-A0LI-01A-11R-A040-07	21.1836211852445	UCEC	Cancer
TCGA-AB-2950-03A-01T-0735-13	6.18428834266626	LAML	Cancer
TCGA-OR-A5K4-01A-11R-A29S-07	0.602994219216134	ACC	Cancer
