symbol,ensembl,entrez,TCGA-BH-A0BJ-11A-23R-A089-07
SYN1,ENSG00000008056,6853,55
SMIM10,ENSG00000184785,644538,383
ENPP1,ENSG00000197594,5167,1943
ZNF595,ENSG00000272602,152687,1105
OR2H1,ENSG00000204688,26716,0
PARP8,ENSG00000151883,79668,1566
SOX13,ENSG00000143842,9580,3429
IMPAD1,ENSG00000104331,54928,5598
CDRT15,ENSG00000223510,146822,0
COX11,ENSG00000166260,1353,1702
FIG4,ENSG00000112367,9896,1606
NCAPH,ENSG00000121152,23397,143
ZNF138,ENSG00000197008,7697,762
MIGA1,ENSG00000180488,374986,2040
FXYD2,ENSG00000137731,486,37
F8A2,ENSG00000274791,474383,0
SOGA3,ENSG00000214338,387104,14
CD160,ENSG00000117281,11126,44
TAF1,ENSG00000147133,6872,4787
GEN1,ENSG00000178295,348654,676
DCAF8L1,ENSG00000226372,139425,0
PABPN1,ENSG00000100836,8106,2918
SP2,ENSG00000167182,6668,2297
BSG,ENSG00000172270,682,14826
DENND5B,ENSG00000170456,160518,906
TOMM70,ENSG00000154174,9868,5817
HMHB1,ENSG00000158497,57824,0
TLR6,ENSG00000174130,10333,384
PINK1,ENSG00000158828,,1561
IDE,ENSG00000119912,3416,2224
FXYD3,ENSG00000089356,,7427
CEBPZOS,ENSG00000218739,100505876,2217
CAVIN3,ENSG00000170955,112464,625
TPR,ENSG00000047410,7175,12533
KLC4,ENSG00000137171,89953,1489
NUMA1,ENSG00000137497,4926,21753
INS,ENSG00000254647,3630,0
UXS1,ENSG00000115652,80146,1889
PABPC5,ENSG00000174740,140886,92
BDP1,ENSG00000145734,55814,4257
COL27A1,ENSG00000196739,85301,3035
WBP11,ENSG00000084463,51729,5913
SERPINB8,ENSG00000166401,5271,783
CNBP,ENSG00000169714,7555,20326
FIBIN,ENSG00000176971,387758,1436
TACC1,ENSG00000147526,6867,6819
ENO1,ENSG00000074800,2023,55534
GLRA3,ENSG00000145451,8001,31
CD274,ENSG00000120217,29126,208
MLX,ENSG00000108788,6945,2785
NSD3,ENSG00000147548,54904,5758
FMNL2,ENSG00000157827,114793,3613
USP17L7,ENSG00000226430,392197,1
NIPAL3,ENSG00000001461,57185,5785
PFKFB2,ENSG00000123836,5208,1298
PTGR1,ENSG00000106853,22949,3517
EBAG9,ENSG00000147654,9166,1614
FOXL2,ENSG00000183770,668,1
CAST,ENSG00000153113,831,15568
ROGDI,ENSG00000067836,79641,1105
NUDT18,ENSG00000275074,79873,239
ZNF789,ENSG00000198556,285989,746
TCTE3,ENSG00000184786,6991,95
SAPCD1,ENSG00000228727,401251,12
CCDC192,ENSG00000230561,728586,52
DNAAF1,ENSG00000154099,123872,75
SYS1-DBNDD2,ENSG00000254806,767557,24
C2orf88,ENSG00000187699,84281,1655
TNS3,ENSG00000136205,64759,5645
MATN3,ENSG00000132031,4148,227
S100A1,ENSG00000160678,6271,1846
ATG4B,ENSG00000168397,23192,2135
PLA2R1,ENSG00000153246,22925,5155
NUDT4,ENSG00000173598,11163,1931
TBK1,ENSG00000183735,29110,2063
ITIH3,ENSG00000162267,3699,79
EVC,ENSG00000072840,2121,2441
FAM135B,ENSG00000147724,51059,10
TUSC3,ENSG00000104723,7991,4929
RELN,ENSG00000189056,5649,2342
IFNL3,ENSG00000197110,282617,0
OSM,ENSG00000099985,5008,23
GTF3C2,ENSG00000115207,2976,3766
NME5,ENSG00000112981,8382,267
STAR,ENSG00000147465,6770,43
PRSS37,ENSG00000165076,136242,8
TMEM50B,ENSG00000142188,757,2509
SLC7A1,ENSG00000139514,6541,3588
AREL1,ENSG00000119682,9870,3062
CCKAR,ENSG00000163394,886,5
KIFAP3,ENSG00000075945,22920,2761
LSM8,ENSG00000128534,51691,1205
ADAT1,ENSG00000065457,23536,1648
HOXD8,ENSG00000175879,3234,684
SIGLEC6,ENSG00000105492,946,36
L3MBTL2,ENSG00000100395,83746,1909
PRAMEF10,ENSG00000187545,343071,0
HOXB1,ENSG00000120094,3211,6
TRPC5OS,ENSG00000204025,100329135,5
GRM8,ENSG00000179603,2918,18
SESN2,ENSG00000130766,83667,1725
CD3D,ENSG00000167286,915,192
RGS13,ENSG00000127074,6003,8
ARHGAP29,ENSG00000137962,9411,8335
UVSSA,ENSG00000163945,57654,543
FGR,ENSG00000000938,2268,446
DEPDC4,ENSG00000166153,120863,49
TREH,ENSG00000118094,11181,18
C19orf53,ENSG00000104979,28974,2019
YKT6,ENSG00000106636,10652,4027
ZNF454,ENSG00000178187,285676,193
UNC119B,ENSG00000175970,,4171
PPP6R2,ENSG00000100239,9701,3121
PCMTD1,ENSG00000168300,115294,4690
GON7,ENSG00000170270,84520,416
EHMT1,ENSG00000181090,79813,4223
SRSF12,ENSG00000154548,135295,161
SAFB2,ENSG00000130254,9667,2924
TBXAS1,ENSG00000059377,6916,545
AP2S1,ENSG00000042753,1175,1953
HRH2,ENSG00000113749,3274,50
CXXC1,ENSG00000154832,30827,1972
C1orf168,ENSG00000187889,199920,72
PSMB10,ENSG00000205220,5699,790
HAGHL,ENSG00000103253,84264,64
C1QL3,ENSG00000165985,389941,85
CMYA5,ENSG00000164309,202333,4599
VWA5A,ENSG00000110002,4013,5024
CT47A9,ENSG00000226600,728042,0
KDELR2,ENSG00000136240,11014,8400
CYP11A1,ENSG00000140459,1583,147
PSENEN,ENSG00000205155,55851,1283
FDX2,ENSG00000267673,112812,66
GPR52,ENSG00000203737,9293,0
ATP12A,ENSG00000075673,479,11
UGT1A9,ENSG00000241119,54600,1
CHTF8,ENSG00000168802,54921,6449
LAP3,ENSG00000002549,51056,5669
FKBP2,ENSG00000173486,2286,2215
CYP51A1,ENSG00000001630,1595,186
MUC4,ENSG00000145113,4585,209
CDNF,ENSG00000185267,441549,291
NUPR1,ENSG00000176046,26471,4304
CACNA2D3,ENSG00000157445,55799,60
ZNF791,ENSG00000173875,163049,2742
RRAD,ENSG00000166592,6236,125
ZHX1-C8orf76,ENSG00000259305,100533106,29
ZNF426,ENSG00000130818,79088,2123
MANBAL,ENSG00000101363,63905,2939
HBB,ENSG00000244734,3043,4488
CA13,ENSG00000185015,377677,564
MRO,ENSG00000134042,83876,104
EMB,ENSG00000170571,133418,1275
MPHOSPH10,ENSG00000124383,10199,2732
MYO1D,ENSG00000176658,4642,6779
CDC26,ENSG00000176386,246184,262
KLC3,ENSG00000104892,147700,343
NECAB2,ENSG00000103154,54550,20
IFI35,ENSG00000068079,3430,804
TMEM115,ENSG00000126062,11070,2419
TMBIM6,ENSG00000139644,7009,47667
SYCE3,ENSG00000217442,644186,10
BCAR1,ENSG00000050820,9564,2662
NIPSNAP1,ENSG00000184117,8508,4051
EFCAB14,ENSG00000159658,9813,11296
POGLUT1,ENSG00000163389,56983,1398
CCDC184,ENSG00000177875,387856,123
CREB3L1,ENSG00000157613,90993,1003
PRR23B,ENSG00000184814,389151,1
LRRC31,ENSG00000114248,79782,11
MN1,ENSG00000169184,4330,514
SIRPB2,ENSG00000196209,284759,83
ZNF572,ENSG00000180938,137209,195
ALS2,ENSG00000003393,57679,1940
PELO,ENSG00000152684,53918,1198
LYSMD4,ENSG00000183060,145748,540
DNASE2B,ENSG00000137976,58511,2
MBLAC2,ENSG00000176055,153364,983
TJP3,ENSG00000105289,27134,1454
KIR3DX1,ENSG00000104970,90011,3
PLOD1,ENSG00000083444,5351,8126
PSKH2,ENSG00000147613,85481,3
UBA3,ENSG00000144744,9039,2733
ADRA2B,ENSG00000274286,151,48
DPF1,ENSG00000011332,8193,40
FAM69C,ENSG00000187773,125704,36
NID1,ENSG00000116962,4811,11157
AC040162.1,ENSG00000261884,,63
ZNF547,ENSG00000152433,284306,196
GRK6,ENSG00000198055,2870,1758
MMP16,ENSG00000156103,4325,1247
PDIA6,ENSG00000143870,10130,8367
TBPL2,ENSG00000182521,387332,2
GEMIN5,ENSG00000082516,25929,2747
CPEB4,ENSG00000113742,80315,3103
TMC7,ENSG00000170537,79905,186
ZNF286A,ENSG00000187607,57335,665
PRMT1,ENSG00000126457,3276,4830
DUSP19,ENSG00000162999,142679,279
PCNX4,ENSG00000126773,64430,3657
SIAH3,ENSG00000215475,283514,17
DDX39A,ENSG00000123136,10212,1086
SECTM1,ENSG00000141574,6398,747
OMD,ENSG00000127083,4958,631
DLGAP1,ENSG00000170579,9229,506
ZNF674,ENSG00000251192,641339,255
MED27,ENSG00000160563,9442,783
UGT1A8,ENSG00000242366,54576,2
ANG,ENSG00000214274,283,555
CHMP4A,ENSG00000254505,29082,171
UHMK1,ENSG00000152332,127933,5944
PPFIA1,ENSG00000131626,8500,4291
USP17L26,ENSG00000229579,728379,0
CYP2A6,ENSG00000255974,1548,64
FNBP4,ENSG00000109920,23360,5291
MAU2,ENSG00000129933,23383,3853
WDR19,ENSG00000157796,57728,2143
11-Sep,ENSG00000138758,55752,5201
CCDC88A,ENSG00000115355,55704,2080
AC003688.1,ENSG00000262302,,0
CCDC68,ENSG00000166510,80323,120
RBM11,ENSG00000185272,54033,127
AGO4,ENSG00000134698,192670,2768
AP002990.1,ENSG00000255508,,197
CCDC78,ENSG00000162004,124093,36
BUB3,ENSG00000154473,9184,3697
MBD3L3,ENSG00000182315,653657,0
