Gene symbol,Ensembl Id,Gene ID,TCGA-BH-A0BJ-11A-23R-A089-07
SYN1,ENSG00000008056,,55
SMIM10,ENSG00000184785,,383
ENPP1,ENSG00000197594,,1943
ZNF595,ENSG00000272602,,1105
OR2H1,ENSG00000204688,,0
PARP8,ENSG00000151883,,1566
SOX13,ENSG00000143842,,3429
IMPAD1,ENSG00000104331,,5598
CDRT15,ENSG00000223510,,0
COX11,ENSG00000166260,,1702
FIG4,ENSG00000112367,,1606
NCAPH,ENSG00000121152,,143
ZNF138,ENSG00000197008,,762
MIGA1,ENSG00000180488,,2040
FXYD2,ENSG00000137731,,37
F8A2,ENSG00000274791,,0
SOGA3,ENSG00000214338,,14
CD160,ENSG00000117281,,44
TAF1,ENSG00000147133,,4787
GEN1,ENSG00000178295,,676
DCAF8L1,ENSG00000226372,,0
PABPN1,ENSG00000100836,,2918
SP2,ENSG00000167182,,2297
BSG,ENSG00000172270,,14826
DENND5B,ENSG00000170456,,906
TOMM70,ENSG00000154174,,5817
HMHB1,ENSG00000158497,,0
TLR6,ENSG00000174130,,384
PINK1,ENSG00000158828,,1561
IDE,ENSG00000119912,,2224
FXYD3,ENSG00000089356,,7427
CEBPZOS,ENSG00000218739,,2217
CAVIN3,ENSG00000170955,,625
TPR,ENSG00000047410,,12533
KLC4,ENSG00000137171,,1489
NUMA1,ENSG00000137497,,21753
INS,ENSG00000254647,,0
UXS1,ENSG00000115652,,1889
PABPC5,ENSG00000174740,,92
BDP1,ENSG00000145734,,4257
COL27A1,ENSG00000196739,,3035
WBP11,ENSG00000084463,,5913
SERPINB8,ENSG00000166401,,783
CNBP,ENSG00000169714,,20326
FIBIN,ENSG00000176971,,1436
TACC1,ENSG00000147526,,6819
ENO1,ENSG00000074800,,55534
GLRA3,ENSG00000145451,,31
CD274,ENSG00000120217,,208
MLX,ENSG00000108788,,2785
NSD3,ENSG00000147548,,5758
FMNL2,ENSG00000157827,,3613
USP17L7,ENSG00000226430,,1
NIPAL3,ENSG00000001461,,5785
PFKFB2,ENSG00000123836,,1298
PTGR1,ENSG00000106853,,3517
EBAG9,ENSG00000147654,,1614
FOXL2,ENSG00000183770,,1
CAST,ENSG00000153113,,15568
ROGDI,ENSG00000067836,,1105
NUDT18,ENSG00000275074,,239
ZNF789,ENSG00000198556,,746
TCTE3,ENSG00000184786,,95
SAPCD1,ENSG00000228727,,12
CCDC192,ENSG00000230561,,52
DNAAF1,ENSG00000154099,,75
SYS1-DBNDD2,ENSG00000254806,,24
C2orf88,ENSG00000187699,,1655
TNS3,ENSG00000136205,,5645
MATN3,ENSG00000132031,,227
S100A1,ENSG00000160678,,1846
ATG4B,ENSG00000168397,,2135
PLA2R1,ENSG00000153246,,5155
NUDT4,ENSG00000173598,,1931
TBK1,ENSG00000183735,,2063
ITIH3,ENSG00000162267,,79
EVC,ENSG00000072840,,2441
FAM135B,ENSG00000147724,,10
TUSC3,ENSG00000104723,,4929
RELN,ENSG00000189056,,2342
IFNL3,ENSG00000197110,,0
OSM,ENSG00000099985,,23
GTF3C2,ENSG00000115207,,3766
NME5,ENSG00000112981,,267
STAR,ENSG00000147465,,43
PRSS37,ENSG00000165076,,8
TMEM50B,ENSG00000142188,,2509
SLC7A1,ENSG00000139514,,3588
AREL1,ENSG00000119682,,3062
CCKAR,ENSG00000163394,,5
KIFAP3,ENSG00000075945,,2761
LSM8,ENSG00000128534,,1205
ADAT1,ENSG00000065457,,1648
HOXD8,ENSG00000175879,,684
SIGLEC6,ENSG00000105492,,36
L3MBTL2,ENSG00000100395,,1909
PRAMEF10,ENSG00000187545,,0
HOXB1,ENSG00000120094,,6
TRPC5OS,ENSG00000204025,,5
GRM8,ENSG00000179603,,18
SESN2,ENSG00000130766,,1725
CD3D,ENSG00000167286,,192
RGS13,ENSG00000127074,,8
ARHGAP29,ENSG00000137962,,8335
UVSSA,ENSG00000163945,,543
FGR,ENSG00000000938,,446
DEPDC4,ENSG00000166153,,49
TREH,ENSG00000118094,,18
C19orf53,ENSG00000104979,,2019
YKT6,ENSG00000106636,,4027
ZNF454,ENSG00000178187,,193
UNC119B,ENSG00000175970,,4171
PPP6R2,ENSG00000100239,,3121
PCMTD1,ENSG00000168300,,4690
GON7,ENSG00000170270,,416
EHMT1,ENSG00000181090,,4223
SRSF12,ENSG00000154548,,161
SAFB2,ENSG00000130254,,2924
TBXAS1,ENSG00000059377,,545
AP2S1,ENSG00000042753,,1953
HRH2,ENSG00000113749,,50
CXXC1,ENSG00000154832,,1972
C1orf168,ENSG00000187889,,72
PSMB10,ENSG00000205220,,790
HAGHL,ENSG00000103253,,64
C1QL3,ENSG00000165985,,85
CMYA5,ENSG00000164309,,4599
VWA5A,ENSG00000110002,,5024
CT47A9,ENSG00000226600,,0
KDELR2,ENSG00000136240,,8400
CYP11A1,ENSG00000140459,,147
PSENEN,ENSG00000205155,,1283
FDX2,ENSG00000267673,,66
GPR52,ENSG00000203737,,0
ATP12A,ENSG00000075673,,11
UGT1A9,ENSG00000241119,,1
CHTF8,ENSG00000168802,,6449
LAP3,ENSG00000002549,,5669
FKBP2,ENSG00000173486,,2215
CYP51A1,ENSG00000001630,,186
MUC4,ENSG00000145113,,209
CDNF,ENSG00000185267,,291
NUPR1,ENSG00000176046,,4304
CACNA2D3,ENSG00000157445,,60
ZNF791,ENSG00000173875,,2742
RRAD,ENSG00000166592,,125
ZHX1-C8orf76,ENSG00000259305,,29
ZNF426,ENSG00000130818,,2123
MANBAL,ENSG00000101363,,2939
HBB,ENSG00000244734,,4488
CA13,ENSG00000185015,,564
MRO,ENSG00000134042,,104
EMB,ENSG00000170571,,1275
MPHOSPH10,ENSG00000124383,,2732
MYO1D,ENSG00000176658,,6779
CDC26,ENSG00000176386,,262
KLC3,ENSG00000104892,,343
NECAB2,ENSG00000103154,,20
IFI35,ENSG00000068079,,804
TMEM115,ENSG00000126062,,2419
TMBIM6,ENSG00000139644,,47667
SYCE3,ENSG00000217442,,10
